,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
69,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy            ",1977,121,8.6,90.0,1182819,322.74
70,"The Good, the Bad and the Ugly",Western            ,1966,178,8.8,90.0,657247,6.1
71,Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy            ",2011,130,8.1,85.0,726805,381.01
72,Mission: Impossible - Fallout,"Action, Adventure, Thriller            ",2018,147,7.7,86.0,268384,220.16
73,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy            ",2003,143,8.0,63.0,989741,305.41
74,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy            ",2003,201,8.9,94.0,1574216,377.85
75,12 Monkeys,"Mystery, Sci-Fi, Thriller            ",1995,129,8.0,74.0,559413,57.14
76,The Avengers,"Action, Adventure, Sci-Fi            ",2012,143,8.0,69.0,1225562,623.28
77,Minority Report,"Action, Crime, Mystery            ",2002,145,7.6,80.0,488636,132.07
78,Baby Driver,"Action, Crime, Drama            ",2017,113,7.6,86.0,405595,107.83
79,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure            ",2018,117,8.4,87.0,309476,190.24
80,Back to the Future,"Adventure, Comedy, Sci-Fi            ",1985,116,8.5,87.0,992613,210.61
81,Spirited Away,"Animation, Adventure, Family            ",2001,125,8.6,96.0,603116,10.06
82,Dunkirk,"Action, Drama, History            ",2017,106,7.9,94.0,510933,188.37
83,The Godfather: Part II,"Crime, Drama            ",1974,202,9.0,90.0,1071305,57.3
84,Django Unchained,"Drama, Western            ",2012,165,8.4,81.0,1284681,162.81
85,No Country for Old Men,"Crime, Drama, Thriller            ",2007,122,8.1,91.0,809218,74.28
86,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy            ",2005,157,7.7,81.0,517016,290.01
87,Requiem for a Dream,Drama            ,2000,102,8.3,68.0,733660,3.64
88,Alien,"Horror, Sci-Fi            ",1979,117,8.4,89.0,751532,78.9
89,Avatar,"Action, Adventure, Fantasy            ",2009,162,7.8,83.0,1086160,760.51
90,28 Days Later...,"Drama, Horror, Sci-Fi            ",2002,113,7.6,73.0,362695,45.06
91,Ex Machina,"Drama, Mystery, Sci-Fi            ",2014,108,7.7,78.0,449775,25.44
92,The Green Mile,"Crime, Drama, Fantasy            ",1999,189,8.6,61.0,1083580,136.8
93,Jurassic Park,"Action, Adventure, Sci-Fi            ",1993,127,8.1,68.0,823456,402.45
94,Apocalypse Now,"Drama, Mystery, War            ",1979,147,8.4,94.0,577604,83.47
95,Snatch,"Comedy, Crime            ",2000,102,8.3,55.0,752185,30.33
96,The Big Short,"Biography, Comedy, Drama            ",2015,130,7.8,81.0,336258,70.26
97,Iron Man,"Action, Adventure, Sci-Fi            ",2008,126,7.9,79.0,905563,318.41
98,Moana,"Animation, Adventure, Comedy            ",2016,107,7.6,81.0,248933,248.76
99,Deadpool 2,"Action, Adventure, Comedy            ",2018,119,7.7,66.0,444245,324.59
100,Lion,"Biography, Drama            ",2016,118,8.0,69.0,198560,51.74
101,Blade Runner,"Action, Sci-Fi, Thriller            ",1982,117,8.1,84.0,663144,32.87
102,There Will Be Blood,Drama            ,2007,158,8.2,93.0,489536,40.22
103,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi            ",2016,133,7.8,65.0,525294,532.18
104,The Lion King,"Animation, Adventure, Drama            ",1994,88,8.5,88.0,897224,422.78
105,Her,"Drama, Romance, Sci-Fi            ",2013,126,8.0,90.0,507649,25.57
106,Coco,"Animation, Adventure, Family            ",2017,105,8.4,81.0,331590,209.73
107,Zodiac,"Crime, Drama, Mystery            ",2007,157,7.7,78.0,425733,33.08
108,Room,"Drama, Thriller            ",2015,118,8.1,86.0,343982,14.68
109,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy            ",2004,142,7.9,82.0,519010,249.36
110,Whiplash,"Drama, Music            ",2014,106,8.5,88.0,668648,13.09
111,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama            ",2017,115,8.2,88.0,392608,54.51
112,The Wizard of Oz,"Adventure, Family, Fantasy            ",1939,102,8.0,100.0,362346,2.08
113,Brokeback Mountain,"Drama, Romance            ",2005,134,7.7,87.0,311540,83.04
114,12 Angry Men,Drama            ,1957,96,8.9,96.0,648966,4.36
115,Get Out,"Horror, Mystery, Thriller            ",2017,104,7.7,85.0,453774,176.04
116,Zootopia,"Animation, Adventure, Comedy            ",2016,108,8.0,78.0,410100,341.27
117,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi            ",2004,108,8.3,89.0,868540,34.4
118,Memento,"Mystery, Thriller            ",2000,113,8.4,80.0,1076188,25.54
119,Captain America: Civil War,"Action, Adventure, Sci-Fi            ",2016,147,7.8,75.0,628285,408.08
120,Pride & Prejudice,"Drama, Romance            ",2005,129,7.8,82.0,241434,38.41
121,Batman Begins,"Action, Adventure            ",2005,140,8.2,70.0,1253332,206.85
122,Ferris Bueller's Day Off,Comedy            ,1986,103,7.8,61.0,304402,70.14
123,The Goonies,"Adventure, Comedy, Family            ",1985,114,7.8,62.0,229870,61.5
124,Ratatouille,"Animation, Adventure, Comedy            ",2007,111,8.0,96.0,611908,206.45
125,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi            ",2015,138,7.9,80.0,832622,936.66
126,Oldboy,"Action, Drama, Mystery            ",2003,120,8.4,77.0,487810,0.71
127,The Princess Bride,"Adventure, Family, Fantasy            ",1987,98,8.1,77.0,376145,30.86
128,The Usual Suspects,"Crime, Mystery, Thriller            ",1995,106,8.5,77.0,949340,23.34
129,Jaws,"Adventure, Drama, Thriller            ",1975,124,8.0,87.0,526149,260.0
130,V for Vendetta,"Action, Drama, Sci-Fi            ",2005,132,8.2,62.0,990418,70.51
131,Scarface,"Crime, Drama            ",1983,170,8.3,65.0,703235,45.6
132,The Revenant,"Action, Adventure, Biography            ",2015,156,8.0,76.0,667355,183.64
133,The Intouchables,"Biography, Comedy, Drama            ",2011,112,8.5,57.0,719900,13.18
134,A Star Is Born,"Drama, Music, Romance            ",2018,136,7.7,88.0,304154,215.29
135,Argo,"Biography, Drama, Thriller            ",2012,120,7.7,86.0,554887,136.03
136,The Grand Budapest Hotel,"Adventure, Comedy, Crime            ",2014,99,8.1,88.0,670468,59.1
137,Superbad,Comedy            ,2007,113,7.6,76.0,503085,121.46
138,Braveheart,"Biography, Drama, History            ",1995,178,8.3,68.0,927085,75.6
139,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy            ",2002,179,8.7,87.0,1421687,342.55
140,The Big Lebowski,"Comedy, Crime, Sport            ",1998,117,8.1,71.0,696113,17.5
141,Star Trek,"Action, Adventure, Sci-Fi            ",2009,127,7.9,82.0,567029,257.73
142,The Pianist,"Biography, Drama, Music            ",2002,150,8.5,85.0,688312,32.57
143,Airplane!,Comedy            ,1980,88,7.7,78.0,200844,83.4
144,Hacksaw Ridge,"Biography, Drama, History            ",2016,139,8.1,71.0,402664,67.21
145,Logan,"Action, Drama, Sci-Fi            ",2017,137,8.1,77.0,609272,226.28
146,Dazed and Confused,Comedy            ,1993,102,7.6,78.0,156383,7.99
147,One Flew Over the Cuckoo's Nest,Drama            ,1975,133,8.7,83.0,873577,112.0
148,The Hateful Eight,"Crime, Drama, Mystery            ",2015,168,7.8,68.0,483789,54.12
149,Kingsman: The Secret Service,"Action, Adventure, Comedy            ",2014,129,7.7,60.0,569432,128.26
150,Watchmen,"Action, Drama, Mystery            ",2009,162,7.6,56.0,482620,107.51
151,The Breakfast Club,"Comedy, Drama            ",1985,97,7.9,62.0,333860,45.88
152,Heat,"Crime, Drama, Thriller            ",1995,170,8.2,76.0,549572,67.44
153,Wonder,"Drama, Family            ",2017,113,8.0,66.0,127122,132.42
154,Training Day,"Crime, Drama, Thriller            ",2001,122,7.7,69.0,372535,76.63
155,The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy            ",2012,169,7.8,58.0,737982,303.0
156,Life Is Beautiful,"Comedy, Drama, Romance            ",1997,116,8.6,59.0,590060,57.6
157,Catch Me If You Can,"Biography, Crime, Drama            ",2002,141,8.1,75.0,774704,164.62
158,Mystic River,"Crime, Drama, Mystery            ",2003,138,7.9,84.0,403805,90.14
159,Inside Out,"Animation, Adventure, Comedy            ",2015,95,8.2,94.0,576125,356.46
160,Mulholland Drive,"Drama, Mystery, Thriller            ",2001,147,8.0,84.0,304474,7.22
161,The Peanut Butter Falcon,"Adventure, Comedy, Drama            ",2019,97,7.6,70.0,38609,13.12
162,The Sound of Music,"Biography, Drama, Family            ",1965,172,8.0,63.0,194508,163.21
163,La La Land,"Comedy, Drama, Music            ",2016,128,8.0,94.0,472376,151.1
164,Sicario,"Action, Crime, Drama            ",2015,121,7.6,82.0,350233,46.89
165,A Clockwork Orange,"Crime, Drama, Sci-Fi            ",1971,136,8.3,80.0,725132,69.04371293001178
166,Lethal Weapon,"Action, Crime, Thriller            ",1987,109,7.6,68.0,228344,65.21
167,Ocean's Eleven,"Crime, Thriller            ",2001,116,7.7,74.0,493893,183.42
168,The Truman Show,"Comedy, Drama, Sci-Fi            ",1998,103,8.1,90.0,885440,125.62
169,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi            ",2014,136,7.7,70.0,704944,259.77
170,Tangled,"Animation, Adventure, Comedy            ",2010,100,7.7,71.0,387782,200.82
171,Indiana Jones and the Last Crusade,"Action, Adventure            ",1989,127,8.2,65.0,663621,197.17
172,Zombieland,"Adventure, Comedy, Horror            ",2009,88,7.6,73.0,501035,75.59
173,American History X,Drama            ,1998,119,8.5,62.0,995875,6.72
174,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy            ",2010,146,7.7,65.0,450975,295.98
175,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery            ",2011,158,7.8,71.0,403953,102.52
176,The Notebook,"Drama, Romance            ",2004,123,7.8,53.0,497143,81.0
177,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family            ",2009,153,7.6,78.0,445368,301.96
178,Drive,"Crime, Drama            ",2011,100,7.8,78.0,547181,35.06
179,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy            ",1980,124,8.7,82.0,1110816,290.48
180,Cast Away,"Adventure, Drama, Romance            ",2000,143,7.8,73.0,498125,233.63
181,Kill Bill: Vol. 1,"Action, Crime, Thriller            ",2003,111,8.1,69.0,956991,70.1
182,Arrival,"Drama, Mystery, Sci-Fi            ",2016,116,7.9,81.0,557966,100.55
183,Reservoir Dogs,"Crime, Drama, Thriller            ",1992,99,8.3,79.0,877411,2.83
184,Pan's Labyrinth,"Drama, Fantasy, War            ",2006,118,8.2,98.0,596016,37.63
185,Donnie Darko,"Drama, Mystery, Sci-Fi            ",2001,113,8.0,88.0,718738,1.48
186,The Favourite,"Biography, Comedy, Drama            ",2018,119,7.6,91.0,154330,34.37
187,About Time,"Comedy, Drama, Fantasy            ",2013,123,7.8,55.0,282547,15.32
188,Seven Samurai,"Action, Adventure, Drama            ",1954,207,8.6,98.0,300373,0.27
189,Hidden Figures,"Biography, Drama, History            ",2016,127,7.8,74.0,186200,169.61
