,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
306,Big Hero 6,"Animation, Action, Adventure            ",2014,102,7.8,74.0,392771,222.53
307,Dead Poets Society,"Comedy, Drama            ",1989,128,8.1,79.0,398250,95.86
308,E.T. the Extra-Terrestrial,"Family, Sci-Fi            ",1982,115,7.8,91.0,354444,435.11
309,Lolita,"Crime, Drama, Romance            ",1962,153,7.6,79.0,88083,9.25
310,Remember the Titans,"Biography, Drama, Sport            ",2000,113,7.8,48.0,190686,115.65
311,Amadeus,"Biography, Drama, History            ",1984,160,8.3,88.0,353709,51.97
312,The Bourne Identity,"Action, Mystery, Thriller            ",2002,119,7.9,68.0,491096,121.66
313,Annie Hall,"Comedy, Romance            ",1977,93,8.0,92.0,244336,39.2
314,Downfall,"Biography, Drama, History            ",2004,156,8.2,82.0,318452,5.51
315,Roma,Drama            ,2018,135,7.7,96.0,127797,69.04371293001178
316,Dangal,"Action, Biography, Drama            ",2016,161,8.4,77.51137724550898,139364,12.39
317,Misery,"Drama, Thriller            ",1990,107,7.8,75.0,174289,61.28
318,Big Fish,"Adventure, Drama, Fantasy            ",2003,125,8.0,58.0,402160,66.26
319,Shrek,"Animation, Adventure, Comedy            ",2001,90,7.8,84.0,589800,267.67
320,Stalker,"Drama, Sci-Fi            ",1979,162,8.2,77.51137724550898,106984,0.23
321,Blue Velvet,"Drama, Mystery, Thriller            ",1986,120,7.8,76.0,171553,8.55
322,Tombstone,"Action, Biography, Drama            ",1993,130,7.8,50.0,120117,56.51
323,Blood Diamond,"Adventure, Drama, Thriller            ",2006,143,8.0,64.0,480633,57.37
324,The Impossible,"Drama, History, Thriller            ",2012,114,7.6,73.0,188070,19.02
325,Rocky,"Drama, Sport            ",1976,120,8.1,70.0,496146,117.24
326,Toy Story 3,"Animation, Adventure, Comedy            ",2010,103,8.3,92.0,725637,415.0
327,Edward Scissorhands,"Drama, Fantasy, Romance            ",1990,105,7.9,74.0,430382,56.36
328,Wind River,"Crime, Drama, Mystery            ",2017,107,7.7,73.0,187334,33.8
329,Spartacus,"Adventure, Biography, Drama            ",1960,197,7.9,87.0,119136,30.0
330,Almost Famous,"Adventure, Comedy, Drama            ",2000,122,7.9,90.0,242761,32.53
331,The Conversation,"Drama, Mystery, Thriller            ",1974,113,7.8,85.0,92058,4.42
332,The Fugitive,"Action, Crime, Drama            ",1993,130,7.8,87.0,256056,183.88
333,Kill Bill: Vol. 2,"Action, Crime, Thriller            ",2004,137,8.0,83.0,654088,66.21
334,Manchester by the Sea,Drama            ,2016,137,7.8,96.0,231099,47.7
335,My Neighbor Totoro,"Animation, Family, Fantasy            ",1988,86,8.2,86.0,264849,1.11
336,Little Miss Sunshine,"Comedy, Drama            ",2006,101,7.8,80.0,424447,59.89
337,The Apartment,"Comedy, Drama, Romance            ",1960,125,8.3,94.0,154083,18.6
338,The Little Mermaid,"Animation, Family, Fantasy            ",1989,83,7.6,88.0,226590,111.54
339,The Others,"Horror, Mystery, Thriller            ",2001,104,7.6,74.0,325016,96.52
340,The Game,"Action, Drama, Mystery            ",1997,129,7.8,61.0,329360,48.32
341,The Fault in Our Stars,"Drama, Romance            ",2014,126,7.7,69.0,329892,124.87
342,The Secret in Their Eyes,"Drama, Mystery, Romance            ",2009,129,8.2,80.0,182524,6.39
343,Chinatown,"Drama, Mystery, Thriller            ",1974,130,8.2,92.0,279602,29.2
344,"O Brother, Where Art Thou?","Adventure, Comedy, Crime            ",2000,107,7.7,69.0,274076,45.51
345,Grave of the Fireflies,"Animation, Drama, War            ",1988,89,8.5,77.51137724550898,215825,69.04371293001178
346,Moonrise Kingdom,"Comedy, Drama, Romance            ",2012,94,7.8,84.0,304893,45.51
347,Blazing Saddles,"Comedy, Western            ",1974,93,7.7,73.0,120708,119.5
348,Million Dollar Baby,"Drama, Sport            ",2004,132,8.1,86.0,611086,100.49
349,The Butterfly Effect,"Drama, Sci-Fi, Thriller            ",2004,113,7.6,30.0,437124,57.94
350,Raging Bull,"Biography, Drama, Sport            ",1980,129,8.2,89.0,306281,23.38
351,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy            ",1975,91,8.2,93.0,482664,1.23
352,Escape from Alcatraz,"Biography, Crime, Drama            ",1979,112,7.6,76.0,111684,43.0
353,Before Sunrise,"Drama, Romance            ",1995,101,8.1,77.0,253528,5.54
354,Rain Man,Drama            ,1988,133,8.0,65.0,457528,178.8
355,Inside Man,"Crime, Drama, Mystery            ",2006,129,7.6,76.0,324550,88.51
356,District 9,"Action, Sci-Fi, Thriller            ",2009,112,7.9,81.0,622376,115.65
357,Moon,"Drama, Mystery, Sci-Fi            ",2009,97,7.9,67.0,323794,5.01
358,Beauty and the Beast,"Animation, Family, Fantasy            ",1991,84,8.0,95.0,404985,218.97
359,American Gangster,"Biography, Crime, Drama            ",2007,157,7.8,76.0,378635,130.16
360,The Body,"Mystery, Thriller            ",2012,108,7.6,77.51137724550898,51071,69.04371293001178
361,Saw,"Horror, Mystery, Thriller            ",2004,103,7.6,46.0,365987,56.0
362,Citizen Kane,"Drama, Mystery            ",1941,119,8.3,100.0,380537,1.59
363,Blow,"Biography, Crime, Drama            ",2001,124,7.6,52.0,232518,52.99
364,Donnie Brasco,"Biography, Crime, Drama            ",1997,127,7.7,76.0,265434,41.91
365,Klaus,"Animation, Adventure, Comedy            ",2019,96,8.2,65.0,65248,69.04371293001178
366,The Naked Gun,"Comedy, Crime            ",1988,85,7.6,76.0,143880,78.76
367,The Machinist,"Drama, Thriller            ",2004,101,7.7,61.0,343911,1.08
368,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama            ",1969,110,8.0,66.0,195740,102.31
369,Ip Man,"Action, Biography, Drama            ",2008,106,8.0,59.0,203859,69.04371293001178
370,The Blind Side,"Biography, Drama, Sport            ",2009,129,7.6,53.0,279588,255.96
371,Vertigo,"Mystery, Romance, Thriller            ",1958,128,8.3,100.0,341174,3.2
372,Scent of a Woman,Drama            ,1992,156,8.0,59.0,245559,63.9
373,Serenity,"Action, Adventure, Sci-Fi            ",2005,119,7.8,74.0,276954,25.51
374,Office Space,Comedy            ,1999,89,7.7,68.0,234301,10.82
375,Wild Tales,"Comedy, Drama, Thriller            ",2014,122,8.1,77.0,163632,3.11
376,The Untouchables,"Crime, Drama, Thriller            ",1987,119,7.9,79.0,267027,76.27
377,Rosemary's Baby,"Drama, Horror            ",1968,137,8.0,96.0,182078,69.04371293001178
378,What's Eating Gilbert Grape,Drama            ,1993,118,7.8,73.0,205816,9.17
379,Y Tu Mamá También,Drama            ,2001,106,7.6,88.0,111233,13.62
380,Midnight Cowboy,Drama            ,1969,113,7.8,79.0,96093,44.79
381,Man on Fire,"Action, Crime, Drama            ",2004,146,7.7,47.0,318641,77.91
382,Breakfast at Tiffany's,"Comedy, Drama, Romance            ",1961,115,7.7,76.0,158824,69.04371293001178
383,Back to the Future Part II,"Adventure, Comedy, Sci-Fi            ",1989,108,7.8,57.0,453113,118.5
384,It's a Wonderful Life,"Drama, Family, Fantasy            ",1946,130,8.6,89.0,380116,69.04371293001178
385,Some Like It Hot,"Comedy, Music, Romance            ",1959,121,8.2,98.0,232498,25.0
386,The Graduate,"Comedy, Drama, Romance            ",1967,106,8.0,83.0,245937,104.95
387,Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical            ",1971,100,7.8,67.0,169725,4.0
388,Come and See,"Drama, War            ",1985,142,8.3,77.51137724550898,49479,69.04371293001178
389,Life of Pi,"Adventure, Drama, Fantasy            ",2012,127,7.9,79.0,559364,124.99
390,Gifted,Drama            ,2017,101,7.6,60.0,91159,24.8
391,Manhattan,"Comedy, Drama, Romance            ",1979,96,7.9,83.0,126614,45.7
392,Who Framed Roger Rabbit,"Animation, Adventure, Comedy            ",1988,104,7.7,83.0,175277,156.45
393,Monty Python's Life of Brian,Comedy            ,1979,94,8.1,77.0,351816,20.05
394,Searching,"Drama, Mystery, Thriller            ",2018,102,7.6,71.0,122608,26.02
395,The Elephant Man,"Biography, Drama            ",1980,124,8.1,78.0,209305,69.04371293001178
396,500 Days of Summer,"Comedy, Drama, Romance            ",2009,95,7.7,76.0,456814,32.39
397,Gattaca,"Drama, Sci-Fi, Thriller            ",1997,106,7.8,64.0,270960,12.34
398,The Blues Brothers,"Adventure, Comedy, Crime            ",1980,133,7.9,60.0,174469,57.23
399,Dances with Wolves,"Adventure, Drama, Western            ",1990,181,8.0,72.0,230530,184.21
400,Wreck-It Ralph,"Animation, Adventure, Comedy            ",2012,101,7.7,72.0,364385,189.42
401,Kick-Ass,"Action, Adventure, Comedy            ",2010,117,7.6,66.0,512270,48.07
402,First Blood,"Action, Adventure            ",1982,93,7.7,61.0,216777,47.21
403,The Great Escape,"Adventure, Drama, History            ",1963,172,8.2,87.0,214622,12.1
404,Empire of the Sun,"Action, Drama, History            ",1987,153,7.7,62.0,110475,22.24
405,The Abyss,"Adventure, Drama, Mystery            ",1989,171,7.6,62.0,156981,54.46
406,Interview with the Vampire: The Vampire Chronicles,"Drama, Horror            ",1994,123,7.6,59.0,284628,105.26
407,Captain Phillips,"Biography, Crime, Drama            ",2013,134,7.8,82.0,404263,107.1
408,Star Trek Into Darkness,"Action, Adventure, Sci-Fi            ",2013,132,7.7,72.0,454488,228.78
409,Toy Story 2,"Animation, Adventure, Comedy            ",1999,92,7.9,88.0,504528,245.85
410,Primal Fear,"Crime, Drama, Mystery            ",1996,129,7.7,47.0,174405,56.12
411,The Hurt Locker,"Drama, Thriller, War            ",2008,131,7.6,95.0,407403,17.02
412,Andhadhun,"Crime, Thriller            ",2018,139,8.3,77.51137724550898,58765,1.37
413,Taken,"Action, Thriller            ",2008,90,7.8,51.0,551766,145.0
414,Match Point,"Drama, Romance, Thriller            ",2005,124,7.6,72.0,199128,23.09
415,The Seventh Seal,"Drama, Fantasy            ",1957,96,8.2,77.51137724550898,153678,69.04371293001178
416,The Last of the Mohicans,"Action, Adventure, Drama            ",1992,112,7.7,76.0,142392,75.51
417,Boyz n the Hood,"Crime, Drama            ",1991,112,7.7,76.0,118355,57.5
418,Apollo 13,"Adventure, Drama, History            ",1995,140,7.6,77.0,256668,173.84
419,The Count of Monte Cristo,"Action, Adventure, Drama            ",2002,131,7.8,61.0,124747,54.23
420,The Boy in the Striped Pajamas,"Drama, War            ",2008,94,7.8,55.0,181226,9.03
421,Walk the Line,"Biography, Drama, Music            ",2005,136,7.8,72.0,225518,119.52
422,Mother,"Crime, Drama, Thriller            ",2009,129,7.8,79.0,44852,0.55
423,The Bourne Ultimatum,"Action, Mystery, Thriller            ",2007,115,8.0,85.0,591663,227.47
424,I Saw the Devil,"Action, Crime, Drama            ",2010,144,7.8,67.0,101841,0.13
425,Sense and Sensibility,"Drama, Romance            ",1995,136,7.6,84.0,97207,43.18
426,127 Hours,"Biography, Drama            ",2010,94,7.6,82.0,336556,18.34
427,Mr. Nobody,"Drama, Fantasy, Romance            ",2009,141,7.8,63.0,207121,0.0
428,Isle of Dogs,"Animation, Adventure, Comedy            ",2018,101,7.9,82.0,126278,32.02
429,Papillon,"Biography, Crime, Drama            ",1973,151,8.0,58.0,117200,53.27
430,Seven Pounds,Drama            ,2008,123,7.6,36.0,278361,69.95
431,The Warriors,"Action, Crime, Thriller            ",1979,92,7.6,65.0,89585,22.49
432,The Fighter,"Biography, Drama, Sport            ",2010,116,7.8,79.0,328356,93.62
433,In Bruges,"Comedy, Crime, Drama            ",2008,107,7.9,67.0,377304,7.76
434,Cinema Paradiso,Drama            ,1988,155,8.5,80.0,215415,11.99
435,The Royal Tenenbaums,"Comedy, Drama            ",2001,110,7.6,76.0,256019,52.36
436,The Hunt for Red October,"Action, Adventure, Thriller            ",1990,135,7.6,58.0,171246,122.01
437,Lost Highway,"Mystery, Thriller            ",1997,134,7.6,52.0,124454,3.8
438,The Reader,"Drama, Romance            ",2008,124,7.6,58.0,224286,34.19
439,Young Frankenstein,Comedy            ,1974,106,8.0,80.0,137987,86.3
440,Solaris,"Drama, Mystery, Sci-Fi            ",1972,167,8.1,90.0,75313,69.04371293001178
441,The Crow,"Action, Drama, Fantasy            ",1994,102,7.6,71.0,160907,50.69
442,Brazil,"Drama, Sci-Fi            ",1985,132,7.9,88.0,181253,9.93
443,The Jungle Book,"Animation, Adventure, Family            ",1967,78,7.6,65.0,159043,141.84
444,Days of Heaven,"Drama, Romance            ",1978,94,7.9,93.0,49101,69.04371293001178
445,The Thin Red Line,"Drama, War            ",1998,170,7.6,78.0,166307,36.4
446,Barry Lyndon,"Adventure, Drama, History            ",1975,185,8.1,89.0,140852,69.04371293001178
447,End of Watch,"Action, Crime, Drama            ",2012,109,7.6,68.0,220302,41.0
448,Shoplifters,"Crime, Drama            ",2018,121,8.0,93.0,50089,3.31
449,Close Encounters of the Third Kind,"Drama, Sci-Fi            ",1977,138,7.6,90.0,175805,132.09
450,Boyhood,Drama            ,2014,165,7.9,100.0,325909,25.38
451,Sunset Blvd.,"Drama, Film-Noir            ",1950,110,8.4,77.51137724550898,190138,69.04371293001178
452,To Kill a Mockingbird,"Crime, Drama            ",1962,129,8.2,88.0,283713,69.04371293001178
453,Gone Baby Gone,"Crime, Drama, Mystery            ",2007,114,7.6,72.0,241826,20.3
454,Bridge of Spies,"Drama, History, Thriller            ",2015,142,7.6,81.0,275281,72.31
455,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery            ",2009,152,7.8,76.0,203578,10.1
456,Traffic,"Crime, Drama, Thriller            ",2000,147,7.6,86.0,190657,124.12
457,How to Train Your Dragon,"Animation, Action, Adventure            ",2010,98,8.1,75.0,639545,217.58
458,The Bourne Supremacy,"Action, Mystery, Thriller            ",2004,108,7.7,73.0,420678,176.24
459,Halloween,"Horror, Thriller            ",1978,91,7.8,81.0,218027,47.0
460,Das Boot,"Adventure, Drama, Thriller            ",1981,149,8.3,86.0,221149,11.49
461,Philadelphia,Drama            ,1993,125,7.7,66.0,215065,77.32
462,Creed,"Drama, Sport            ",2015,133,7.6,82.0,237177,109.77
463,Fried Green Tomatoes,Drama            ,1991,130,7.7,64.0,64004,82.42
464,Dawn of the Planet of the Apes,"Action, Adventure, Drama            ",2014,130,7.6,79.0,401624,208.55
465,The Raid: Redemption,"Action, Thriller            ",2011,101,7.6,73.0,183075,4.11
466,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi            ",2011,105,7.6,68.0,485154,176.76
467,Sleepers,"Crime, Drama, Thriller            ",1996,147,7.6,49.0,181027,49.1
468,The Wind Rises,"Animation, Biography, Drama            ",2013,126,7.8,83.0,66128,5.21
469,Robin Hood,"Animation, Adventure, Comedy            ",1973,83,7.6,57.0,110113,32.06
470,Akira,"Animation, Drama, Sci-Fi            ",1988,124,8.0,77.51137724550898,153970,0.55
471,The Best Offer,"Crime, Drama, Mystery            ",2013,131,7.8,49.0,102139,0.09
472,Singin' in the Rain,"Comedy, Musical, Romance            ",1952,103,8.3,99.0,207882,8.82
473,A Separation,Drama            ,2011,123,8.3,95.0,208970,7.1
474,The Man from Earth,"Drama, Fantasy, Sci-Fi            ",2007,87,7.9,77.51137724550898,166905,69.04371293001178
475,The Night of the Hunter,"Crime, Drama, Film-Noir            ",1955,92,8.0,99.0,78196,0.65
476,Rio Bravo,"Action, Drama, Western            ",1959,141,8.0,77.51137724550898,53384,12.54
477,Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama            ",1998,118,7.6,41.0,250537,10.68
478,North by Northwest,"Adventure, Mystery, Thriller            ",1959,136,8.3,98.0,285036,13.28
479,Billy Elliot,"Drama, Music            ",2000,110,7.7,74.0,121259,22.0
480,Planet of the Apes,"Adventure, Sci-Fi            ",1968,112,8.0,79.0,160509,33.4
481,Straight Outta Compton,"Biography, Drama, History            ",2015,147,7.9,72.0,172586,161.2
482,Nausicaä of the Valley of the Wind,"Animation, Adventure, Fantasy            ",1984,117,8.1,86.0,138497,0.5
483,Whisper of the Heart,"Animation, Drama, Family            ",1995,111,7.9,75.0,44715,69.04371293001178
484,My Cousin Vinny,"Comedy, Crime            ",1992,120,7.6,68.0,101306,52.93
485,Fantastic Mr. Fox,"Animation, Adventure, Comedy            ",2009,87,7.9,83.0,187163,21.0
486,For a Few Dollars More,Western            ,1965,132,8.3,74.0,219652,15.0
487,The Magnificent Seven,"Action, Adventure, Western            ",1960,128,7.7,74.0,84206,4.91
488,Die Hard with a Vengeance,"Action, Adventure, Thriller            ",1995,128,7.6,58.0,352268,100.01
489,The Skin I Live In,"Drama, Horror, Thriller            ",2011,120,7.6,70.0,131140,3.19
490,In the Mood for Love,"Drama, Romance            ",2000,98,8.1,85.0,114618,2.73
491,The Birds,"Drama, Horror, Mystery            ",1963,119,7.7,88.0,162956,11.4
492,The Sting,"Comedy, Crime, Drama            ",1973,129,8.3,83.0,231159,159.6
493,Deliverance,"Adventure, Drama, Thriller            ",1972,109,7.7,80.0,94716,69.04371293001178
494,Serpico,"Biography, Crime, Drama            ",1973,130,7.7,87.0,103090,29.8
495,Do the Right Thing,"Comedy, Drama            ",1989,120,7.9,92.0,80171,27.55
496,Sling Blade,Drama            ,1996,135,8.0,84.0,84552,24.48
497,3:10 to Yuma,"Action, Adventure, Crime            ",2007,122,7.7,76.0,279081,53.61
498,Carlito's Way,"Crime, Drama, Thriller            ",1993,144,7.9,65.0,192571,36.95
499,Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi            ",1982,113,7.7,67.0,108942,78.91
500,Bonnie and Clyde,"Action, Biography, Crime            ",1967,111,7.8,86.0,98300,69.04371293001178
501,Before Sunset,"Drama, Romance            ",2004,80,8.0,90.0,221371,5.82
502,Enemy at the Gates,"Drama, History, War            ",2001,131,7.6,53.0,233877,51.4
503,Dirty Harry,"Action, Crime, Thriller            ",1971,102,7.7,90.0,137745,35.9
504,Castle in the Sky,"Animation, Adventure, Drama            ",1986,125,8.0,78.0,139890,69.04371293001178
505,"Crouching Tiger, Hidden Dragon","Action, Adventure, Fantasy            ",2000,120,7.8,94.0,246517,128.08
506,Harakiri,"Action, Drama, History            ",1962,133,8.7,85.0,32476,69.04371293001178
507,The Dirty Dozen,"Action, Adventure, War            ",1967,150,7.8,73.0,64364,45.3
508,Metropolis,"Drama, Sci-Fi            ",1927,153,8.3,98.0,152296,1.24
509,Eastern Promises,"Action, Crime, Drama            ",2007,100,7.6,82.0,220646,17.11
510,Gandhi,"Biography, Drama, History            ",1982,191,8.0,79.0,212504,52.77
511,A Fistful of Dollars,"Action, Drama, Western            ",1964,99,8.0,65.0,187278,14.5
512,The Boondock Saints,"Action, Crime, Thriller            ",1999,108,7.8,44.0,222253,0.03
513,PK,"Comedy, Drama, Fantasy            ",2014,153,8.1,77.51137724550898,150554,10.62
514,Dark City,"Mystery, Sci-Fi, Thriller            ",1998,100,7.6,66.0,182287,14.38
515,The Fly,"Drama, Horror, Sci-Fi            ",1986,96,7.5,79.0,152085,40.46
516,Awakenings,"Biography, Drama            ",1990,121,7.8,74.0,117680,52.1
517,Snow White and the Seven Dwarfs,"Animation, Family, Fantasy            ",1937,83,7.6,95.0,173473,184.93
518,Battle Royale,"Adventure, Drama, Sci-Fi            ",2000,114,7.6,81.0,163858,69.04371293001178
519,Dog Day Afternoon,"Biography, Crime, Drama            ",1975,125,8.0,86.0,226328,50.0
520,Changeling,"Biography, Crime, Drama            ",2008,141,7.7,63.0,229310,35.74
521,Like Stars on Earth,"Drama, Family            ",2007,165,8.4,77.51137724550898,154749,1.22
522,Kiki's Delivery Service,"Animation, Adventure, Drama            ",1989,103,7.8,83.0,111337,69.04371293001178
523,Malcolm X,"Biography, Drama, History            ",1992,202,7.7,72.0,79543,48.17
524,This Is Spinal Tap,"Comedy, Music            ",1984,82,7.9,92.0,124375,0.19
525,Hachi: A Dog's Tale,"Drama, Family            ",2009,93,8.1,77.51137724550898,238682,69.04371293001178
526,When Harry Met Sally...,"Comedy, Drama, Romance            ",1989,95,7.6,76.0,186130,92.82
527,Coraline,"Animation, Drama, Family            ",2009,100,7.7,80.0,186488,75.29
528,A Silent Voice: The Movie,"Animation, Drama, Family            ",2016,130,8.2,78.0,35407,69.04371293001178
529,Cool Hand Luke,"Crime, Drama            ",1967,127,8.1,92.0,155191,16.22
530,Dogville,"Crime, Drama            ",2003,178,8.0,60.0,132136,1.53
531,The Illusionist,"Drama, Fantasy, History            ",2006,110,7.6,68.0,346016,39.87
532,The Last Emperor,"Biography, Drama, History            ",1987,163,7.7,76.0,89420,43.98
533,Being John Malkovich,"Comedy, Drama, Fantasy            ",1999,113,7.7,90.0,297961,22.86
534,Paddington 2,"Adventure, Comedy, Family            ",2017,103,7.8,88.0,55117,40.44
535,The Color Purple,Drama            ,1985,154,7.8,78.0,74466,98.47
536,"Paris, Texas",Drama            ,1984,145,8.1,78.0,81904,2.18
537,A Bronx Tale,"Crime, Drama, Romance            ",1993,121,7.8,80.0,122248,17.27
538,In the Name of the Father,"Biography, Drama            ",1993,133,8.1,84.0,148692,25.01
539,Lord of War,"Action, Crime, Drama            ",2005,122,7.6,62.0,286020,24.15
540,Roman Holiday,"Comedy, Romance            ",1953,118,8.0,78.0,122084,69.04371293001178
541,The Lego Movie,"Animation, Action, Adventure            ",2014,100,7.7,83.0,315215,257.76
542,Despicable Me,"Animation, Comedy, Family            ",2010,95,7.6,72.0,483192,251.51
543,Amores Perros,"Drama, Thriller            ",2000,154,8.1,83.0,214816,5.38
544,Network,Drama            ,1976,121,8.1,83.0,138294,69.04371293001178
545,I Am Sam,Drama            ,2001,132,7.7,28.0,139452,40.31
546,Cold War,"Drama, History, Music            ",2018,89,7.6,90.0,42731,4.57
547,Midnight Express,"Biography, Crime, Drama            ",1978,121,7.6,59.0,69699,35.0
548,21 Grams,"Crime, Drama, Thriller            ",2003,124,7.7,70.0,218493,16.25
549,Rebecca,"Drama, Mystery, Romance            ",1940,130,8.1,86.0,116259,4.36
550,"Blood In, Blood Out","Crime, Drama            ",1993,180,8.0,47.0,27720,4.5
551,Gangs of Wasseypur,"Action, Comedy, Crime            ",2012,321,8.2,89.0,74421,69.04371293001178
552,Kung Fu Hustle,"Action, Comedy, Fantasy            ",2004,99,7.7,78.0,121929,17.11
553,Winter Sleep,Drama            ,2014,196,8.2,88.0,41312,0.17
554,To Have and Have Not,"Adventure, Comedy, Film-Noir            ",1944,100,7.8,77.51137724550898,29465,69.04371293001178
555,Ran,"Action, Drama, War            ",1985,162,8.2,96.0,105155,3.52
556,The Artist,"Comedy, Drama, Romance            ",2011,100,7.9,89.0,223648,44.67
557,After Hours,"Comedy, Crime, Drama            ",1985,97,7.7,90.0,54315,10.6
558,The Holy Mountain,"Adventure, Drama, Fantasy            ",1973,114,7.9,77.51137724550898,34123,0.06
559,Adaptation.,"Comedy, Drama            ",2002,115,7.7,83.0,170718,22.25
560,Lucky Number Slevin,"Crime, Drama, Mystery            ",2006,110,7.7,53.0,294073,22.49
561,The Name of the Rose,"Crime, Drama, Mystery            ",1986,130,7.7,54.0,97739,7.15
562,The Man Who Shot Liberty Valance,"Drama, Western            ",1962,123,8.1,94.0,65628,69.04371293001178
563,The Searchers,"Adventure, Drama, Western            ",1956,119,7.9,94.0,76529,69.04371293001178
564,Before Midnight,"Drama, Romance            ",2013,109,7.9,94.0,131479,8.11
565,When Marnie Was There,"Animation, Drama, Family            ",2014,103,7.7,72.0,27697,0.77
566,Hotel Rwanda,"Biography, Drama, History            ",2004,121,8.1,79.0,324186,23.53
567,50/50,"Comedy, Drama, Romance            ",2011,100,7.6,72.0,308431,35.01
568,Charade,"Comedy, Mystery, Romance            ",1963,113,7.9,83.0,63896,13.47
569,Beasts of No Nation,"Drama, War            ",2015,137,7.7,79.0,68843,0.08
570,La Haine,"Crime, Drama            ",1995,98,8.1,77.51137724550898,139258,0.31
571,The Raid 2,"Action, Crime, Thriller            ",2014,150,8.0,71.0,109313,2.63
572,Dawn of the Dead,"Horror, Thriller            ",1978,127,7.9,71.0,107383,5.1
573,JFK,"Drama, History, Thriller            ",1991,189,8.0,72.0,135729,70.41
574,Ghost in the Shell,"Animation, Action, Crime            ",1995,83,8.0,76.0,122221,0.52
575,Drishyam,"Crime, Drama, Mystery            ",2015,163,8.2,77.51137724550898,61545,0.74
576,Paths of Glory,"Drama, War            ",1957,88,8.4,77.51137724550898,167115,69.04371293001178
577,Loving Vincent,"Animation, Biography, Crime            ",2017,94,7.8,62.0,45705,6.74
578,Doctor Zhivago,"Drama, Romance, War            ",1965,197,8.0,69.0,66975,111.72
579,The Great Beauty,Drama            ,2013,141,7.8,86.0,76618,2.85
580,Sing Street,"Comedy, Drama, Music            ",2016,106,7.9,79.0,80254,3.24
581,The Nightmare Before Christmas,"Animation, Family, Fantasy            ",1993,76,8.0,82.0,280775,75.08
582,Kramer vs. Kramer,Drama            ,1979,105,7.8,77.0,125810,106.26
583,Glory,"Biography, Drama, History            ",1989,122,7.8,78.0,116363,26.83
584,Only the Brave,"Action, Biography, Drama            ",2017,134,7.6,72.0,52375,18.34
585,Enter the Dragon,"Action, Crime, Drama            ",1973,102,7.7,83.0,92467,25.0
586,The Wrestler,"Drama, Sport            ",2008,109,7.9,80.0,283282,26.24
587,Let the Right One In,"Drama, Horror, Romance            ",2008,114,7.9,82.0,200179,2.12
588,Flipped,"Comedy, Drama, Romance            ",2010,90,7.7,45.0,78025,1.75
589,"Planes, Trains & Automobiles","Comedy, Drama            ",1987,93,7.6,72.0,116797,49.53
590,The French Connection,"Action, Crime, Drama            ",1971,104,7.7,94.0,104553,15.63
591,Rashomon,"Crime, Drama, Mystery            ",1950,88,8.2,98.0,143683,0.1
592,Persona,"Drama, Thriller            ",1966,83,8.1,86.0,94463,69.04371293001178
593,The Bridge on the River Kwai,"Adventure, Drama, War            ",1957,161,8.1,87.0,194468,44.91
594,The Wild Bunch,"Action, Adventure, Western            ",1969,135,7.9,97.0,74696,12.06
595,The Bridges of Madison County,"Drama, Romance            ",1995,135,7.6,66.0,69040,71.52
596,Night of the Living Dead,Horror            ,1968,96,7.9,89.0,110710,0.09
597,A Streetcar Named Desire,Drama            ,1951,122,8.0,97.0,95179,8.0
598,Chungking Express,"Comedy, Crime, Drama            ",1994,102,8.1,77.0,57416,0.6
599,Me and Earl and the Dying Girl,"Comedy, Drama            ",2015,105,7.7,74.0,118074,6.74
600,A Little Princess,"Drama, Family, Fantasy            ",1995,97,7.7,83.0,30804,10.02
601,Perfect Blue,"Animation, Horror, Mystery            ",1997,81,8.0,77.51137724550898,50222,0.78
602,The Straight Story,"Biography, Drama            ",1999,112,8.0,86.0,77975,6.2
603,Rope,"Crime, Drama, Mystery            ",1948,80,8.0,73.0,121972,69.04371293001178
604,Dial M for Murder,"Crime, Thriller            ",1954,105,8.2,75.0,148563,0.01
605,8½,Drama            ,1963,138,8.0,77.51137724550898,103743,0.05
606,Modern Times,"Comedy, Drama, Family            ",1936,87,8.5,96.0,204796,0.16
607,The Secret World of Arrietty,"Animation, Adventure, Family            ",2010,94,7.6,80.0,73890,19.2
608,M,"Crime, Mystery, Thriller            ",1931,99,8.3,77.51137724550898,135502,0.03
609,Badlands,"Crime, Drama            ",1973,94,7.8,93.0,62061,69.04371293001178
610,The Man from Nowhere,"Action, Drama, Thriller            ",2010,119,7.8,77.51137724550898,58787,0.01
611,The Fall,"Adventure, Drama, Fantasy            ",2006,117,7.9,64.0,104344,2.28
612,How to Train Your Dragon 2,"Animation, Action, Adventure            ",2014,102,7.8,76.0,293072,177.0
613,Hero,"Action, Adventure, History            ",2002,107,7.9,85.0,170119,53.71
614,All the President's Men,"Biography, Drama, History            ",1976,138,8.0,80.0,97417,70.6
615,October Sky,"Biography, Drama, Family            ",1999,108,7.8,71.0,78408,32.48
616,On the Waterfront,"Crime, Drama, Thriller            ",1954,108,8.1,91.0,134959,9.6
