Cust_id,AVG_Actual_price_12,Purchase_Value,No_of_Items,Total_Discount,MONTH_SINCE_LAST_TRANSACTION
478,1755,1755,1,2145,11
479,650,650,1,0,12
480,6000,6000,1,0,7
482,2118.703704,68085,41,28265,2
484,797.5,3190,4,2610,8
485,2075,8300,4,24900,2
486,5400,5400,1,600,2
487,3369.058182,50795.06,14,8804.94,1
488,1575,6300,4,6300,2
490,2420,21910,9,2290,4
491,4950,4950,1,3350,2
492,6750,6750,1,750,4
493,5778.333333,61970,19,830,6
495,2100,4200,2,0,5
496,1843.333333,32708.25,17,4766.75,1
499,981.6666667,7085,7,3585,2
500,2595,10380,4,13620,7
503,290.625,5550,21,16350,1
504,2800,5600,2,0,1
505,5000,5000,1,0,6
507,1152,11520,10,20480,7
508,1421.856667,4265.57,3,234.43,10
509,3960,19620,6,2180,6
511,378,1890,5,8610,5
514,3531.666667,22980,8,0,7
515,5395.833333,131450,21,0,2
518,7575,30300,4,0,1
519,1960,9800,5,0,8
520,583.9295238,12262.52,21,38337.48,3
522,1867.5,3735,2,415,3
523,3280,16400,5,8100,2
524,276.255,552.51,2,747.49,11
525,1583.333333,13200,8,13200,1
526,1050,4200,4,4500,12
530,1890,7560,4,840,7
531,3242.665,6485.33,2,5514.67,9
532,3512.590105,79501.5,28,32693.5,1
534,3185.714286,67100,27,0,6
535,1166.666667,22700,17,33000,5
537,3163.409091,34797.5,11,26102.5,3
538,6243.305,24081.32,4,2918.68,1
539,1815.855,3631.71,2,-336.71,5
540,1970,23965,14,0,3
542,2285.75,6857.25,3,21945.75,12
543,774,4644,6,8256,4
544,1681.666667,5045,3,5045,1
545,5130,17280,4,1920,1
546,5653.93,5653.93,1,-553.93,5
549,945,1890,2,2310,12
550,4750,9500,2,0,7
552,1787.5,14300,8,42900,3
553,1841.666667,17350,12,17350,6
554,1061.111111,19100,18,14400,2
556,2100,2100,1,0,11
559,1443.75,11550,8,5250,11
561,450,450,1,50,7
563,3905.195,9674.23,3,1225.77,3
564,1887.5,7550,4,900,6
567,1223.1,10116,11,1124,4
568,453,25965,80,118285,8
569,936,16830,15,76670,7
571,1903.637143,13325.46,7,1374.54,3
572,1900,9800,6,0,11
573,2655.315,5310.63,2,6826.37,11
574,439.875,1759.5,4,2588.5,11
575,2081.25,27990,20,34210,4
576,2766.666667,13100,7,0,1
577,8300,16600,2,0,4
578,900,900,1,0,6
579,400,3200,8,19800,11
580,5100,5100,1,0,6
582,1355.142857,89505,66,153695,2
584,708.75,2835,4,3465,4
585,1976.025556,9962.37,5,-962.37,3
586,1528,45738,34,72462,1
588,4200,8400,2,0,5
589,895,1790,2,0,7
590,7736.08,15472.16,2,-1172.16,8
592,1360,4080,3,1020,6
596,2767.5,16290,6,1810,2
597,2319,11595,5,3295,2
600,5200,12500,3,0,3
602,4150,4150,1,4150,5
603,3180,9540,3,1060,8
605,2246.705,4493.41,2,12106.59,8
607,2975,5950,2,1050,7
608,2250,22500,10,7500,11
611,5200,10400,2,0,10
612,823.8461538,21420,26,77980,1
613,3495.94,13983.76,4,3616.24,10
615,8300,8300,1,0,1
616,2528.909444,35810.73,14,22689.27,10
618,2100,18900,9,0,8
620,1100,6600,6,1650,3
622,300,600,2,0,3
624,1873.75,7495,4,7495,2
625,1890,1890,1,210,4
626,2200,8800,4,7500,10
628,2100,18900,9,0,8
630,1020,5100,5,20400,12
631,828.5714286,28770,27,63880,4
632,5500,5500,1,0,1
633,1459.82,1459.82,1,640.18,4
635,1026.354167,107350,113,307920,1
636,1190.909091,13100,11,26350,1
637,2070.9375,8283.75,4,116.25,3
644,911.7857143,13305,18,7595,3
645,975,3900,4,11700,1
646,4396.08,17584.32,4,7315.68,1
648,2800,14000,6,0,10
649,7150,14300,2,0,2
650,3900,3900,1,0,7
652,642.675,1285.35,2,1114.65,11
653,1240,7440,6,7560,10
655,8300,16600,2,0,1
656,3450,6900,2,0,1
